text_clean_joined,date,sentiment_gemini
udah jelas bukti dua mata nampak jelas dan sagat jelas masih aja geles terus pertamina tiap hari gecek entah apa yg di cek tiap hari yg salah rakyat terus nantik,2025-11-01,negatif
betul bapak saya warga kota bekas mobil saya kiras tangki sama dj toyota jababeka karena bensin pertamax pertamina tidak sempurna bakar nya dan tinggal ampas yg buat gas rem masalah mesin tidak enak jadi mohon bantu nya bapak tegur pihak pertamina,2025-11-02,negatif
mana tegak hukum,2025-11-03,negatif
asli bener saya isi pertalite juga motor jadi brebet gilir isi pertamax lancar parahparah,2025-11-02,negatif
wajar gak si dalam tangki motor vbaru tahun tapi udah karat tangki nya,2025-11-01,negatif
ya allah motor baru bulan januari brebet mogok tengah jalan ya allah kudu nang aku,2025-10-31,negatif
sumpah kak aku juga samaaa akhir aku pindah pake bensin bp,2025-10-31,negatif
pantas pas telah isi motor saya suka mati,2025-11-01,negatif
kalimantan juga bang,2025-11-01,negatif
kasi tau gua dong bree balik dalang ini siapa,2025-11-01,netral
sebab gak boleh beli pakai gen ini lah sebab nyaakan liat campur,2025-11-02,negatif
kwalitas pertamina ragu banyak keluh tidak mau benah,2025-11-01,negatif
itu bukan etanol mungkin itu campur air apalagi sekarang musim hujan kalau bongkar tidak benar rentan masuk air,2025-11-01,negatif
di pasuruan pak banyak sepeda brebet garagara bengsin juga bak banyak sepeda mogok dan banyak yang nunggak kerja karna kendala kendara an,2025-11-02,negatif
uu nomor tahun tentang lindung konsumen udh jelas,2025-11-02,netral
paling bener banyu udan,2025-11-05,negatif
ya allah poleh wedi nek gowo anak g lucu yo,2025-11-04,negatif
indo demo,2025-11-05,netral
iki presidene onok keluh sak indonesia perkoro bbm kok neng aejane kerjone opo presiden iki ngerti mentrine gawe ontran sak indonesia kok neng ae,2025-11-05,negatif
motor juga asa lemah mesin,2025-11-03,negatif
pertamax beli k dmn kk,2025-11-07,netral
rakyat kok bikin coba gimanakesel banget tp kok keluh rakyat asa gak di dgr,2025-11-07,negatif
pertamina wajibbertanggung jawab sesuai amanat uu indung konsumen,2025-11-03,negatif
beat street kan kompresi tinggi srandar nya ya ron pertamax malah isi ron utk kompresi rendah apalagi motor skrg rata mesin kompresi tinggi,2025-11-04,negatif
tuku sepeda maneh ae mbak,2025-11-07,netral
sementara beri octan boster n injection cleaner neng injection cleaner beri x aja,2025-11-07,netral
aq yoooo tadi nang mayjend sungkono jam an ujuk ujuk mati motor pas mau muter di makam pahlawan untung mobil belakang pelan abang polisi cepek bantuin dorong mpe nyebrang deket ruko efek bahlul pake etanol,2025-11-05,negatif
listrik aja lah,2025-11-04,netral
motor scoopy awal shell aman damai sentosa tp trus atok kosongberalihlah ke pertalite tp bikin brebet akhir gnti busi trus gnti pake pertamax brebet boros pakai trus gnti pertamax turbo sik pancet brebet muncul vt pertamax turbo yg hrsnya ron stlh cek trnyata ron nya cm pie jaltrus kudu gnti solar ta ben aman damai sentosa gk atek drama motor brebet maneh,2025-11-07,negatif
ada temu baru bbm bobibos liat aja ges besok bobibos akan di sabotase oleh pihak yg rasa saing,2025-11-04,negatif
podovarioku iki mau d isi pertamax juga mati mesinjian mangkel yoan,2025-11-05,negatif
sudah sampek tulungagung,2025-11-03,netral
aku mau bnsn ecer atau di spbu gede tetep pertamax dari dlu pernah pake pertalite klo pertamax habis aja,2025-11-05,netral
anak ku pakai pertamax juga mogokpas pulang kuliah dari upn,2025-11-07,negatif
bahlil cair,2025-11-04,netral
ngeri,2025-11-05,negatif
bisa di jadi saksi nih di polda metro jaya lanjut yg adu ada barang juga ada lanjut mbak biar ada cerah,2025-11-03,netral
njalok tanggung jawab karo kumpul manusia laknat nek pertamina yoo ra baka di reken bahlil kro wong pertamina kui isine kumpul menungso laknat dn kutuk,2025-11-04,negatif
awal dari kerang kuning ke pertamax ampuuuun mbaakk motor tari gas nyaa berattt bgt alhasil aku pindah ke pertamax turbo alhamdulillah aman mbaa,2025-11-04,positif
kira kalo di doain se indonesia di ijabah ga doa nya ges,2025-11-06,netral
kembali ke sepeda kalau gin mah,2025-11-01,netral
trus xride gua pake bensin apa mana udh wktunya isi bensin lg,2025-11-01,netral
motor gw jg rusak gara ini nih,2025-11-02,negatif
aku pingin misuh,2025-11-01,negatif
bahlil bantu buka lapang kerja dan maju umkm bengkel,2025-11-01,positif
saya nak brebet taman saya jugak nak yang satu lagi nak jugak emang mantap nih satu kosan orang nak semua jadi bukan cuma saya aja kesel,2025-11-01,negatif
bang aku awal pake pertalite jadi rebet trs ganti pertamax lah malah mogokkk,2025-11-08,negatif
telah pertamax skrang pertalite,2025-11-01,netral
yauu sampe udh capek benerin motor mulu,2025-11-02,negatif
apakah ini cara putar ekonomi apakah biar orng orng belanja,2025-11-02,netral
koviv pers motor,2025-11-02,netral
betul motor udah masuk bngkel ganti busi sm bngkel gak boleh pk pertalite tp aq lanjot isi perlatite masih brebettttt lagi,2025-11-09,negatif
gak nyangka motor ikut fomo,2025-11-02,netral
bensin nya udah oplos ditmbah etanol lagi,2025-11-02,negatif
motor bukan cuma x hari mogok brebet panjang jalan telah sy isi full di spbu,2025-11-08,negatif
udah yapping nya,2025-11-01,negatif
motor brebet njir,2025-11-01,negatif
bang bahas papa nya jerome bang,2025-11-01,netral
iyaaaa bener lagiiii,2025-11-02,netral
trus isi bengsin mana woi,2025-11-01,negatif
ini tarik nih,2025-11-01,netral
itu bpk yang nasrani anak mondok itu kan yg pke kmeja item pak,2025-11-01,netral
tanya kenapa beli kesitu lagi beli klo isi air,2025-11-01,netral
maka motor bnyak suka rusak,2025-11-02,negatif
beli kemaren sorehari ini baru konplain,2025-11-01,negatif
suami isi tiap beli ecer jdi alhamdulillah gk ada kendala,2025-11-03,positif
pantes mbil suka rebet,2025-11-01,negatif
untung para kuasa jd x lipat yg pertama dr ngoplos minyak dan yg dua dr spearpat motor paham kan mksud nya,2025-11-01,negatif
itu hasil dari bodoh dungu dan rakus,2025-11-01,negatif
motor gw di isi pertamax bretbet dikit di isi pertalite jadi brebet mati anj memang,2025-11-01,negatif
smua spbu memng begitu,2025-11-01,netral
pak ji sangat aktif ya,2025-11-01,positif
paaaak sepeda motor banyak bretbet,2025-11-03,negatif
prabowo kada wani mecat bahlil,2025-11-02,negatif
ihh motor w brebet jgn gin jga kali ya bensinnyaa,2025-11-03,negatif
pertamina seharuse nerima bila di komplen untuk lebih baik,2025-11-03,negatif
tolongggg,2025-11-02,negatif
konspirasi untuk alih ke kendara listrik kah,2025-11-01,netral
takut ada oknum yg bayar orang itu,2025-11-02,negatif
pantes motor kmaren isi pertalit langsung angel mau hiduppdahal speda msih thn dri dealerajg emang,2025-11-02,negatif
harga tinggi kualitas rendah,2025-11-03,negatif
saya juga kena dampak asem tenan,2025-11-01,negatif
iki harus e nek beli bensin pakek aqua saja biar misal campur gin taudaripada langsung ke motor jadi resiko brebet ke motorkasian seng uang e press bisa buat beli bensin aja malah jadi benerin motor,2025-11-02,negatif
politik bisnis,2025-11-02,netral
ohh nyata ini ta sebab pe layak gon ku brebet ae,2025-11-02,negatif
jangan beli pertamina lagi,2025-11-02,negatif
prabowo sbnr nya tau gak sih,2025-11-02,negatif
pertamina jatim itu rek,2025-11-04,netral
nmax ku jek aman i panggah tk isi pertalet tp mboh maneh depan e brebet sis po ra,2025-11-04,negatif
motor juga brebet kemarin bolak balik bengkel sampe x ini gimana yah kesel bgt sumpah kalo gin trs mending beli motor listrik,2025-11-03,negatif
klarifikasi nya aja kata baik aja kok malah pyn suruh tanggung jwb,2025-11-05,negatif
makin ke sini makin ke sana para atas gmn ini pak prabowo anak buah malah nyengsaraiin rakyat,2025-11-04,negatif
pertamina asu ancen,2025-11-05,negatif
wong wedok iso postep langka,2025-11-04,negatif
pertaminus mbak,2025-11-03,negatif
motor juga kemarin brebet,2025-11-04,negatif
sepeda pancal sehat ayoo,2025-11-04,positif
takok nang dealer onok a dodol injeksi sing bolongane gede tak tukue drpda mbrebet,2025-11-03,negatif
ya allah dzolim tenan,2025-11-05,negatif
saiki tuku bensin aku minta struk kmrn gara pertalite motor mati servis habis ribu,2025-11-03,negatif
ngerasain hal yg sama,2025-11-04,negatif
podo kak busi kyk ngno,2025-11-05,netral
beatku ae tk isi pertamax mbak oleh sedino melbu bengkel,2025-11-05,negatif
pertamina sedang mengcarry rakyat indo biar gampang masuk surga,2025-11-03,negatif
pom bensin daerah mana kak,2025-11-04,netral
kug gak ada demo ya,2025-11-04,negatif
ngene ki solusi ne piye yo po sak negoro pe dikei motor kabeh nek wes rusak,2025-10-31,negatif
ganti exxonmobil ae wis ngene iki carane,2025-11-03,negatif
ini lho tadi pagi aq sdh jadi korbane bahlul,2025-11-03,negatif
aku bulan lalu habis servis motor full di bengkel resmi abis rb itu full ya rek pokok semua tak ganti posisi jg abis celaka udah ga servis bln lbh uenakkkk pol eh baru ini kok gaiso nyala susah distarteraku kira ya abis bensin ta apa lah penuh heh wkwktrs liat berita brebet wah iki kayak e motor kenamslh e ya baru abis rb buat servis full trs kalo dikit servis gara bensin e apa kira kita rakyat ini sugih ya,2025-11-05,negatif
pertamina jadi itachi biar bengkel jadi laku sama rame,2025-11-04,negatif
motor astaghfirullah bengkel alhamdulillah wasyukurillah,2025-11-02,negatif
motor rekan kerja nggak cuma brebet lagi mati total iya,2025-11-02,negatif
asal campur campur aja ga sesuai kendaran nya anehh,2025-11-02,negatif
kompak nepalkan bahlil,2025-11-01,negatif
pertamax campur dengan pertalite pertalite campur dengan etanol,2025-11-03,netral
perlu demo ga sih ke pertamina,2025-10-31,negatif
yaampun rek adekuu pedahe disurung,2025-10-31,negatif
ngakak dua warga ini,2025-10-31,netral
deg degan woii kemaren abis pinjem motor sodara soal motor sendiri dipake kerja kaka trs gw beliin pertamax woilahh nyata yang punya motor biasa pake pertalite woilahh,2025-10-31,negatif
masuk bengkel rb,2025-11-02,negatif
info yg punya motor spacy karbufi ada yg brebet ga,2025-11-04,negatif
motor gw juga jadi brebet udh ganti sensor tps tapi masih brebet saran dong bg biar bener lagi,2025-11-02,negatif
madura jugak ada pakbanyak sepeda motor yg mati telah isi bbm di spbu,2025-11-03,negatif
jawa timur solar kok langkah benar ada apa di balik semua ini,2025-11-03,negatif
bahlil b nya apa,2025-11-03,netral
ini alas gaboleh pake jeliken bier ga liat,2025-11-03,netral
ini efek klao menteri tidak kualitas tidak ahli di bidang nya,2025-11-03,negatif
pantesan ada rencana larang jual bensin ecer,2025-11-01,negatif
semua juga tuju dari atas dan jabat lebih tinggiseolah di rencana rakyat kecil selalu buat berat harus atur ini dan ituyang atas tetap senyum tanpa pikir rakyat suara,2025-11-02,negatif
kenapa ya pak prabowo biar bijak bahlil padahal jelas rugi rakyat kata mau mensehterakan rakyat,2025-11-02,negatif
ini yg buat kendara masyarakat sekarang cepat masuk bengkel,2025-11-02,negatif
bahlil itu tangkep,2025-11-01,negatif
bahlil turunin laah ini udh terlalu bgtrakyat juta main dia doang,2025-11-01,negatif
astaga kemaren pertamax skrg pertalite gk sudh,2025-11-01,negatif
sudah pertalite di indo mahal kwalitas buruk masak ada berita di campur etanol parah parah,2025-11-01,negatif
ya maknaya udh vivo sma shell jgn di tahan dikosongin lagi udh ga sudi gua beli pertamina,2025-11-02,negatif
siapa yg bilang campur ethanol aman cari yg bilang itu pak dia cuma kerja itu,2025-11-01,negatif
hhhmmm dah lama ttp aja kagak tuntas,2025-11-02,negatif
ya sepeda juga begitu brebet di ganti tamak lamcar,2025-11-03,negatif
habis tamak di palsu skrg pertalite,2025-11-01,negatif
bukan etanol itu tp campur air hahah,2025-11-01,negatif
terus gimna jln kluarnya itu,2025-11-02,netral
tiap hari kita cek jareeiku lak jaremu a,2025-11-01,netral
makanya ada atur larang beli pake plastik drigen kecil yang liter iya itu biar mgga liat,2025-11-02,netral
bukan pertalite aja pak tpi pertamax juga,2025-11-02,netral
ini ksalahan pom bensin kenapa ga di cek ga teliti mobil tengki dari pertamina,2025-11-01,negatif
kalau mau sidak beneran ya smean ambil langsung dari selang isi loh cak jiii,2025-11-01,netral
klo sidak langsung aja pa dari nozlle jangan yang bawa dari botol mesin pompa dispenser langsung aja ambil sample,2025-11-01,netral
motor gua juga kena sakit ini nih bjir,2025-11-04,negatif
pertamax juga,2025-11-04,netral
bengkel makasih lil,2025-11-04,positif
apakah ini s marketing pertamax,2025-11-04,netral
punya barusan ini harus ganti busi padahal belum tahun ganti busi,2025-11-04,negatif
ga pertalite ajaa pertamax jugaa,2025-11-03,netral
bang saya mau nanya nih kok orang pada tau korban jiwa dari bencana bahkan perang yang korban bisa banyak banget,2025-11-03,netral
lah motor gua gitu pdhl baru service,2025-11-03,negatif
emang motor ane juga ni awal bunyi eh tiba brebet mati mati haduhhh,2025-11-03,negatif
mobil belum ada yang brebet bang tunggu tahun baru ya,2025-11-03,negatif
pantesan,2025-11-02,netral
iya bjir brebet kek mo mati mtor gua,2025-11-02,negatif
iya kenapa sihh,2025-10-31,netral
gua isi turbo pulang kerja motor gaenak bgt ada endut endut padhl vario,2025-10-31,negatif
kelakuann pak tri paling ganteng gin amatt,2025-10-31,netral
mekanik bengkel resmi mekanik bengkel pinggir jalan,2025-10-31,netral
tanggung jawab nih perintah,2025-11-03,negatif
pertamina turuuuuun jgn nglenyem ae,2025-11-07,negatif
honda maneh,2025-11-04,netral
pertamina anjm,2025-11-07,negatif
semangat rinn,2025-11-03,positif
kurang kaya ta direksi pertamina,2025-11-04,negatif
salahkn si balul,2025-11-03,negatif
spedaku nak gk usah ngelles,2025-11-03,negatif
ini lah konohadiman pmerintah bisnis dgn rakyat sendiri,2025-11-02,negatif
pertamax juga,2025-11-02,netral
ohh dr bensin nya toh motor q sering brebet walaupun di service juga ttp tp bengkel kok ngasih tau y itu dr bensin nya,2025-11-02,negatif
omaaagmn dong klo orng bengkel tau aku ngisi pertamax klo pas pertalite kosong di pom,2025-11-04,negatif
astaghfirullah marah banget sama b,2025-11-06,negatif
pantes mtrku kek gitu,2025-11-06,netral
motor juga brebet alhamdulillah udh di servis moga gak mbrebet lagi,2025-11-09,positif
apakah ini konspirasi lord bahlul sama asosiasi bengkel,2025-10-31,negatif
jatim jdi kelinci coba etanol,2025-11-02,negatif
admin gerindra mana nihhh ok gas ok gas,2025-11-02,positif
kampung juga sekarang banyak motor brebet massal anj bgt yg oplos itu pliss pak prabowo tolong tindak,2025-11-06,negatif
emg parah pertalite skrg bikin motor cepat rusak kotor tangki dasar mah beli di pom antri minta ampun parah parah,2025-11-02,negatif
zolim terus sama rakyat yaallah,2025-11-02,negatif
q kemariin juga ngalamin di pom magelang luurrr,2025-11-02,negatif
hukum berat mungkin bahlilbila perlu suruh minum etanol dn bensin dampot tenan kok bahlil,2025-11-02,negatif
akun bahlil komen nonaktif rek,2025-11-02,netral
memzng iya pertalit di campur etanolmangkanya mulai sekarang beli pertamax aja,2025-11-02,negatif
parah non ketimbangkena tipu jugak ya,2025-11-02,negatif
anku jg beli pertalit sepeda macet bolak balik,2025-11-02,negatif
nah sekarang tau kan alas tiap spbu pertamina di larang pake botolplastik nah itu bukti tri esdm gmn kalau kayak gtu tanggung jawab kau,2025-11-02,negatif
wes dang di demo,2025-11-02,negatif
sibalili hrus tanggung jawab jgn masarakat yg jadi sasar,2025-11-02,negatif
jember juga banyak motor keluh sepeda brebek mungkin karena itu,2025-11-02,negatif
pantes sensor bensin gampang rusak,2025-11-02,negatif
aku isi pertalite ban nya mala pecah,2025-11-02,negatif
ganti ke shell,2025-11-02,netral
aaku juga gituuuu,2025-11-02,negatif
hidup udh sulit jadi nambah sulit,2025-11-02,negatif
rezeki orang bengkel,2025-11-02,positif
kapan shell ada bensin nya,2025-11-02,netral
viralin,2025-11-02,netral
bahlulll,2025-11-02,negatif
bekel full senyum,2025-11-02,positif
kalau rusak di ganti negara mah gpp ini kita betulin sendiri bensin beli sendiri,2025-11-02,negatif
ohh mrebet gara pertalite ya kirain krna blm gnti oli,2025-11-02,netral
cung aku baru aja tadi malam kak motor kaka ku sih tapi rebet brebet mogok gitu mana nggak ada engkol lagi,2025-11-02,negatif
pantes motor ku juga ngadat gitu jalan,2025-11-02,negatif
ini akibat jabat di isi sama yg bukan teknokrat please lah depan jabat tri harus di isi sama teknokrat seperti pak purbaya,2025-11-02,negatif
lah gua kira punya gua doang,2025-11-02,netral
yg isi pertamax sama juga bg keluh sama gitu,2025-11-02,negatif
kalo pertamax nggak bang,2025-11-02,positif
binggung nya kok gw searching bbm masih belum kasih etanol yah tpi kok pada ada masalah mulu saat udh ke isi bbm di spbu,2025-11-02,negatif
tmpat ku aman aj anjir mlh beli di ecerann daerah jawa aj ituu,2025-11-02,positif
dahlahh udah jdi korban,2025-11-02,negatif
tambahannnn solar langka bgt di daerah alas sinyal eror jd yg udh scan barcode kudu nunggu jam klo blom satu jam di scan lg ujung nambah jd jam gila bgt dagang mau muter ekonomi aja di sulit,2025-11-02,negatif
podo mbaa sini banyak keluh tamak,2025-11-03,negatif
motor sek enak iso di surung kancane lha mobil matic lho opo ga nangispas tb mandeg jegrek tengah dal di surung ga kenek bedo karo mobil manual,2025-11-04,negatif
aku sll isi pertalite kdng pertamax aman aman ajatp mmg tiap bulan aku sll serviceganti oli,2025-11-06,positif
sudah bnyak korban tpi blom ad tindak masuk tipu gak sih jual minyak buat otor rusak,2025-11-03,negatif
org kaltim kami pernah ada situ di posisi mu,2025-11-04,netral
sama bgt mbak aq beli pertamax brebet ke bengkel habis,2025-11-05,negatif
kreta brebet teruss anj laa,2025-11-01,negatif
langsung cek ajah spbu nya mumpung di spbu,2025-11-01,netral
tangkap mafia pertamina,2025-10-31,negatif
jgn asal umum kan pihak pa de bukti saja tank pom ada air atau tank gojek ada air nya karna sering beli ecer pas ujan di warung,2025-10-31,negatif
kemarin sore kirain baru ngisi langsung di periksa,2025-10-31,netral
ihhh sama tau motor aku jg gitu bbrp hari ini bahkan skrng aja masuk lg bengkel betul aku pake pertamax,2025-11-05,negatif
ini bisa jadi demo part nih,2025-11-01,negatif
saran dong klo udh gin motor gmn ya takut pas jalan malah mogok tiba tiba,2025-11-01,negatif
orang lagi jual bakso nih,2025-11-01,netral
mekanik untung tapi capek jirr,2025-11-02,negatif
alternatif nya apa guys,2025-11-02,netral
pasti ulah si bahlil,2025-11-02,negatif
benerrr motor gua juga brebet co,2025-11-02,negatif
asli bang sama udh bner cape ke bengkel,2025-11-02,negatif
tukang bengkel anggota mekanik jurus tkr harga benerin motor,2025-11-02,netral
loh,2025-11-02,netral
semua nya oplos jdi mau pakai bensin mana lagi,2025-11-02,negatif
tukang bengkel,2025-11-02,netral
aku isi di indomobil amannn,2025-11-02,positif
mobil aku juga pernah begitu,2025-11-02,negatif
anjjj nyusahin bgttt,2025-11-02,negatif
mobil ajaa brebet anj,2025-11-02,negatif
tolak petronas yg beri bensin asli untuk bensin campur good idea,2025-11-02,positif
arti lebih aman pertamax ya bang,2025-11-02,positif
mungkin stok sudah sedikit alih ke listrik,2025-11-02,netral
aku gak mau ngomong kasar bisa wakil gak,2025-11-02,netral
jawa timur doang jabar aman,2025-11-02,positif
aku pertamax sama jugakayak gin,2025-11-02,negatif
kita ini kaya sengaja giring pake kendara listrik ga sih,2025-11-05,negatif
lah kok podo yo wes ono minggu iki vario d gas mlh matidulurq yo ngunu servis entek mogok trus wes ono minggu,2025-11-03,negatif
sama ka saya juga isi pertamax kemaren sore skrng mtr brebet tapi blm bawa ke bengkel,2025-11-03,negatif
pertamina sedang rugi,2025-11-03,negatif
sama,2025-11-06,negatif
coba o yamaha mbakmesine bandelrata seng korban spedane honda,2025-11-03,negatif
sekarang pertamax ksongmaunya apa perintah ini,2025-11-03,negatif
korban juga,2025-11-01,negatif
kalah ama petronas jirudah murah kualitas bagus,2025-10-31,negatif
aku baru aja kena bg,2025-11-01,negatif
terus isi bensin pake apa dongg,2025-11-01,negatif
apa ini cara perintah ngurangin populasi kendara pribadi,2025-10-31,negatif
kek sekarang harus beli sepeda aja deh gaada bensin yg bisa percaya,2025-10-31,negatif
pdhl aku beli peramax loh,2025-11-07,negatif
ntb msih ama bngt,2025-11-04,positif
samaa astghfirr dzolim bgt perintah,2025-11-01,negatif
sama kakk motor baru bulan masih baruu poll brebet brebet beat cbs ku,2025-10-31,negatif
isi mana mb pom nyabawa kantor adu pertamina kl sana sulit viralkan lg mb biar rakyat bs laku seperti nepal,2025-11-09,negatif
shell aja nolak tuh kan di campur,2025-11-01,negatif
absen korban saya jg barusan,2025-11-01,negatif
ya anak saya beli pertalit di daerahmalang sepeda di pakai pagi tadi jam henti dadak isi pertalit di stater brebet mati nuntun jadi gimana ini pak,2025-11-02,negatif
emang nyata kok tonggoku ngisi motore mbrebet nang bengkel entek ewu lek emang rekayasa mosok wong akeh seng kenek,2025-11-01,negatif
ahahaa ga bisa nyalahin tempat lain karena yg buka situ doang,2025-11-01,negatif
bagus pak sidak terus pak pertamina semuaaa,2025-11-02,positif
sudah banyak korban pak de,2025-11-01,negatif
tp saya jual di botolgitu ga ada airnyaentah kl sdh masuk k tank motor guncang,2025-11-01,netral
lil bahlil,2025-11-01,netral
alhamdulillah jateng jaya semenjak dpt bansos,2025-11-04,positif
siksa pda rakyat,2025-11-04,negatif
pertamax sama aja,2025-11-08,negatif
bahlil gua telat tka ini gra bentol,2025-11-06,negatif
saya isi pertamax tadi jam di pom bensin madura pas jam brebet ya allah,2025-11-07,negatif
kemarin gw sampe jatoh bang,2025-11-04,negatif
motor juga brebet,2025-11-01,negatif
nyata bukan gw aja,2025-11-07,negatif
solusi nya pertamina harus punya mobil yg tangki nya transparan,2025-11-01,netral
pertamina sudah sulit di percaya,2025-11-08,negatif
kasi rakyat,2025-11-03,netral
pertamina gimana mau tanggung jawab kita bayar beli bensin kes aja rugi terliunan,2025-11-05,negatif
pertamax juga kotor ada residu walaupun lebih kecil dari pertalite,2025-11-06,negatif
atur orang biadap di pusat,2025-11-06,negatif
ayo rim semangat,2025-11-04,positif
ikut sedehh nek motor anyar lha nek motor ngunu karuan e beat lawas nek amyar menang,2025-11-04,negatif
pertalite pertamax ga ada beda,2025-11-04,negatif
yuk larisin spbu swasta aja rek,2025-11-03,netral
biasa aq isi bensin di sell sekrng kosong terus trpaksa isi pertamax,2025-11-05,negatif
podo mbak beatku tak isi pertamax yo brebet,2025-11-05,negatif
sama seperti yg aku alami sekarang ganti bp amannn josss,2025-11-03,positif
samaaaa gabisa di gasss anjirrrr,2025-11-04,negatif
punya keluargku kena semua,2025-11-06,negatif
motor baru beli udh rebet,2025-10-31,negatif
njay motor yahku juga gituu,2025-11-01,negatif
pertamax jugak,2025-11-06,netral
jadi cerita etanol itu bensin buang terus bensin yg pertalite di jadiin ke pertamax,2025-11-01,netral
punya tibatiba mati gtu bkn ap tkutny pas ngebut blkng ngebut jg eh tabrak naudzubillah min zallik,2025-11-01,negatif
bener si bahlul bikin ulah aja,2025-11-01,negatif
punya gw juga kena juga jir,2025-11-01,negatif
tetap saja bahlil tak goyah maha sakti bahlil lakada apa tuh,2025-11-01,negatif
rusak banget dahh indonesia sekarang,2025-11-01,negatif
gw jg sama,2025-11-02,negatif
klk pertamax aman ngga ya,2025-11-01,netral
pajak njirrr,2025-10-31,negatif
bahlil bahlil,2025-11-01,negatif
oke gaes punya pacar juga gitu habis bawa ke bengkel tetep aja brebet trus tadi malem bawa ke bengkel lagi dan aku tanya ke orang bengkel kasus ini dah brp orang dia jawab beberapa hari ini dah motor yg kasus sama guendeng poll sih,2025-11-05,negatif
tapi untuk jawatengah jabar dan banten sampai saat ini untuk pertalite pertamax aman ngak ada yg mogok juga rebet mungkin harus di cek di spbu nya yg curang atau sopir tangki coba di cek dulu lagi ngak semua spbu di jatim campur air,2025-11-03,netral
aku aman saja pernah brebet mati nyata switch dari standart samping yg erorya sudah mati saja switch nya,2025-11-03,positif
turbo juga ga yaa,2025-11-03,netral
kenapa laku msh aman n jabat yaa,2025-11-01,negatif
motor jg sama ih rusak beberebedan padahal aku selalu isi pertamax trnyata krna aku g prnh service,2025-11-04,negatif
plat merah mana ada yg bagus,2025-11-01,negatif
ganti bahan bakar mobil aja dlu kakaman,2025-11-01,netral
bahlull tinggal grup,2025-11-01,negatif
gara etanol itu,2025-11-01,negatif
kusut pertalit,2025-11-01,negatif
bener itu campur etanol,2025-11-01,netral
motor jd brebet mulu padahal sblm jln sdh di warm up,2025-11-01,negatif
tolong di usuult tentang bbm di sini udah lama rugi bahaya rusak,2025-11-03,negatif
etanol itu ubah jadi air yaa,2025-11-01,netral
musim ujan skrng,2025-11-01,netral
ijin pak harus bapa beli di pertamina langsung jangan bgtu kawatir oknum yg buat rusuh mending bapa bawa botol isi ke pertalitnya langsung biar tau bukti asli,2025-11-01,netral
td ada yg servis motor ditmpat suamikupertmaa isi pertalittrus brebetakhirnya isi tamak eh malah matidikuras bensin nya warna nya jadi merah,2025-11-01,negatif
usut bos sampe tuntas,2025-11-01,netral
sumpah pantesan motor gua brebet anjir,2025-11-01,negatif
pertamina mana ngaku,2025-11-01,negatif
moh salah,2025-11-01,netral
ini semua gara gara reza chalid,2025-11-01,negatif
pertama sudah saat di pimpin ahok supaya oknum di internal bantai yg rugi masyarakat luas di indonesia,2025-11-01,negatif
tutor nyurung motor mbakk aku ket biyen ajar raiso isoo,2025-11-06,negatif
pertamina sepi wisan ket wing,2025-11-06,netral
sama kak menghhindari pertalite malah kennak krn ganti pertamax,2025-11-06,negatif
pertaminaindonesia gimana inih masa kita beli bensin bayar pertamina yang rugi kan motor kita yang pada rusak,2025-11-06,negatif
sama kakaku ya pakai pertamax uda lamaaaatetep ngadat jugaaa,2025-11-05,negatif
di daerah mana ini,2025-11-05,netral
fulpum injektorbusi dah kena semuaa,2025-11-05,negatif
rapopo skalian service lek gak ngunu gak tau mok service,2025-11-05,netral
podo mbk,2025-11-05,negatif
sama ka,2025-11-05,negatif
tapi beat pop tak isi pertalite terus gk brebet,2025-11-05,positif
motor putri yo angel di starter padahal biasane ora lokasi jombang,2025-11-05,negatif
pertalit pertamax sm saja bikin brebet,2025-11-05,negatif
knpa kmareb blik knpa komplen nya baru,2025-11-01,netral
suami juga d sidoajo sampek g bisa kerjatapi paling sakit hati lihat respon pertamina dan bahlil,2025-11-04,negatif
podo mbkbeat e ank ku yo ngonobrebetterus padahal wsd service pancet aegk onk hasil epancet brebet,2025-11-03,negatif
inti belum menteri ganti jangan beli di plat merah,2025-11-04,negatif
aku aja ngisi pertalite di spbu ribu lngsung brebet ka,2025-11-03,negatif
alhamdulillah spedaku gak pernah rewel ngisi bensin mana aman aja,2025-11-03,positif
kayak aku kmrin motor wes ape sakaratul maut pertamina onok ae gebrakanne,2025-11-06,negatif
partalit etanol,2025-11-02,netral
pertalite udah gk bagus tambah ancur lagi gara balil paling bner pke pertamax emg,2025-11-01,negatif
buka kemaren udh kena kasus kok malah tambah parah si,2025-11-01,negatif
kang bengkel,2025-11-01,netral
motor juga udah mulai brebet ni,2025-11-01,negatif
mana kemarin abis isi pertalite,2025-11-01,negatif
podo mbukakbeat street ku thn ini yoan busine gosong filtere rupane kyk areng,2025-11-07,negatif
wing gonku y mari mlebu bengkel mbk sak gurunge isi aman mari isi sekitar km an brebet akhire y ng bengkel wes,2025-11-05,negatif
podo mbak,2025-11-03,negatif
mntrinya dipulangin aja deh,2025-11-01,negatif
di tempat saya juga banyak yg keluh motor brebret di kira rusah teryata semua yg habis di isi pertalite semua seperti itu,2025-11-01,negatif
knp gk ambil sample langsung dari selang,2025-11-01,negatif
memang di fb sekarang juga viral berapa minggu ini pertalite bikin motor brebet apa lagi motor tua yg pengapianya kurang normal langsung dah mogok kayak motor ku bener sekarang gak jalan tak otak atik karbunya malah gk karu karuan,2025-11-01,negatif
